#separator:tab
#html:true
#notetype:Basic
#deck:SQL فارسی::SQL Fundamentals
#tags column:3
#columns:Front	Back	Tags
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت COUNT(col) و COUNT(*) چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">COUNT(col) سطرهای NULL را نادیده می‌گیرد. COUNT(*) تمام سطرها از جمله NULLها را می‌شمارد.</div>	domain::sql course::sql_fundamentals section::ch_1_سمانتیک_null
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">`NULL * 0` چند است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">NULL. هر عملیات حسابی با NULL نتیجه NULL می‌دهد. حتی 0 * NULL هم NULL است.</div>	domain::sql course::sql_fundamentals section::ch_1_سمانتیک_null
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت UNION و UNION ALL چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">UNION نتیجه‌ها را ترکیب می‌کند و تکراری‌ها را حذف می‌کند (sort/hash لازم است). UNION ALL تکراری‌ها را نگه می‌دارد (سریعتر). مگر dedup واقعاً لازم باشد، UNION ALL استفاده کن.</div>	domain::sql course::sql_fundamentals section::ch_1_union
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">SQL روی Set یا Bag کار می‌کند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Bag (مالتی‌ست). جداول SQL می‌توانند سطرهای تکراری داشته باشند، اما روابط ریاضی نمی‌توانند. SELECT DISTINCT یک bag را به set تبدیل می‌کند.</div>	domain::sql course::sql_fundamentals section::ch_1_set_در_مقابل_bag
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا SELECT * در محیط production بد است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">1) داده‌ی اضافی (پهنای باند، حافظه)، 2) اگر schema تغییر کند app خراب می‌شود، 3) covering index کار نمی‌کند، 4) هدف query نامشخص است.</div>	domain::sql course::sql_fundamentals section::ch_1_نکات_مصاحبه
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت DELETE، TRUNCATE و DROP چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">DELETE = حذف سطرهای خاص (کند، triggerهای row-level فعال می‌شوند، همیشه rollbackپذیر). TRUNCATE = حذف سریع همه سطرها — triggerهای row-level فعال نمی‌شوند، اما PostgreSQL triggerهای statement-level TRUNCATE را فعال می‌کند. DROP = حذف جدول + schema.</div>	domain::sql course::sql_fundamentals section::ch_1_نکات_مصاحبه
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">B-tree index چیست و چه عملیاتی را پشتیبانی می‌کند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یک ساختار درختی متعادل که داده‌ها را مرتب نگه می‌دارد. جستجوی equality (O(log N))، range scan، ORDER BY و prefix matching (LIKE 'abc%') را پشتیبانی می‌کند. در بیشتر دیتابیس‌ها پیش‌فرض index است.</div>	domain::sql course::sql_fundamentals section::ch_2_اصول_b_tree_index
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا B-tree index به `WHERE name LIKE '%Alice'` کمکی نمی‌کند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">wildcard ابتدایی full scan اجباری است — index مرتب است و نمی‌توان به وسط پرید. wildcard در انتها مانند `LIKE 'Alice%'` می‌تواند index استفاده کند.</div>	domain::sql course::sql_fundamentals section::ch_2_اصول_b_tree_index
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا `WHERE YEAR(created_at) = 2024` از index روی created_at استفاده نمی‌کند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تابع ستون ایندکس‌شده را می‌پیچد — optimizer نمی‌تواند این را به index مطابق کند. راه‌حل: `WHERE created_at &gt;= '2024-01-01' AND created_at &lt; '2025-01-01'` یا ساختن functional index.</div>	domain::sql course::sql_fundamentals section::ch_2_اصول_b_tree_index
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Leftmost prefix rule در composite index چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یک composite index روی (a, b, c) برای query روی a، a+b یا a+b+c کار می‌کند — اما برای b، c یا b+c تنها خیر. index بر اساس a مرتب شده، پس حذف a مرتب را می‌شکند.</div>	domain::sql course::sql_fundamentals section::ch_2_composite_index_و_leftmost_prefix
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا ستون‌های equality باید قبل از ستون‌های range در composite index بیایند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">equality روی ستون scan را محدود می‌کند. range سایر ستون‌ها را بلااستفاده می‌کند. مثال: index (status, created_at) برای `WHERE status='active' AND created_at &gt; '2024-01-01'` کار می‌کند اما برعکس نه.</div>	domain::sql course::sql_fundamentals section::ch_2_composite_index_و_leftmost_prefix
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Covering index چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یک index که شامل تمام ستون‌های مورد نیاز query است، پس دیتابیس هرگز سطرهای جدول را لمس نمی‌کند. در MySQL به شکل "Using index" و در PostgreSQL به شکل "Index Only Scan" نشان داده می‌شود. I/O را به شدت کاهش می‌دهد.</div>	domain::sql course::sql_fundamentals section::ch_2_composite_index_و_leftmost_prefix
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت clustered و non-clustered index چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Clustered index ترتیب فیزیکی سطرهای داده را کنترل می‌کند — در MySQL/InnoDB و SQL Server فقط یکی به ازای هر جدول (معمولاً PK). PostgreSQL clustered index پایدار ندارد: CLUSTER یک‌بار مرتب می‌کند اما حفظ نمی‌کند. Non-clustered index یک ساختار جداگانه با pointer است — lookup نیازمند fetch اضافی از جدول است مگر covering index باشد.</div>	domain::sql course::sql_fundamentals section::ch_2_انواع_index
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Partial (filtered) index چه وقتی مناسب است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">وقتی بیشتر queryها روی زیرمجموعه‌ای از سطرها هستند (مثلاً `WHERE status = 'active'`). index فقط سطرهای مطابق را ذخیره می‌کند — کوچکتر و سریعتر برای maintenance. PostgreSQL و SQL Server پشتیبانی می‌کنند.</div>	domain::sql course::sql_fundamentals section::ch_2_انواع_index
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ستون `type` در MySQL EXPLAIN چه می‌گوید؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مسیر دسترسی، از بهترین تا بدترین: system &gt; const &gt; eq_ref &gt; ref &gt; range &gt; index &gt; ALL. ALL = full table scan (معمولاً بد برای جداول بزرگ با WHERE حساس).</div>	domain::sql course::sql_fundamentals section::ch_2_خواندن_explain
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">"Using filesort" در MySQL EXPLAIN یعنی چی؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">دیتابیس باید یک مرحله sort اضافی انجام دهد چون ORDER BY از index نمی‌تواند استفاده کند. معمولاً علامت هشدار — indexی برای ORDER BY اضافه کن.</div>	domain::sql course::sql_fundamentals section::ch_2_خواندن_explain
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">"Using temporary" در MySQL EXPLAIN یعنی چی؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یک جدول موقت حین اجرای query ساخته شد — معمولاً برای GROUP BY، DISTINCT یا برخی الگوهای JOIN. روی دیتاست بزرگ گران می‌شود.</div>	domain::sql course::sql_fundamentals section::ch_2_خواندن_explain
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Query optimizer چه تصمیماتی می‌گیرد؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مسیر دسترسی (full scan در مقابل index)، ترتیب join، الگوریتم join، استراتژی aggregation و parallelism را تعیین می‌کند. مبتنی بر هزینه است — ارزان‌ترین پلن را جستجو می‌کند، نه لزوماً سریع‌ترین.</div>	domain::sql course::sql_fundamentals section::ch_2_پلن_اجرایی_و_optimizer
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا query در dev سریع است اما در production کند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">1) آمار جدول فرق دارد — dev دارای 100 سطر (full scan مشکلی ندارد)، prod دارای 10M. 2) آمار کهنه — ANALYZE بزن. 3) توزیع داده فرق دارد. 4) index در prod وجود ندارد. 5) Parameter sniffing — پلن کش شده برای مقادیر دیگر بهینه نیست.</div>	domain::sql course::sql_fundamentals section::ch_2_پلن_اجرایی_و_optimizer
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Parameter sniffing چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">دیتابیس یک پلن بر اساس اولین مقادیر parameter کش می‌کند. اگر مقادیر بعدی توزیع خیلی متفاوتی داشته باشند، پلن کش شده بهینه نیست. راه‌حل: RECOMPILE hint، pg_hint_plan یا plan_cache_mode.</div>	domain::sql course::sql_fundamentals section::ch_2_پلن_اجرایی_و_optimizer
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چه زمانی full table scan از index سریعتر است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">وقتی optimizer تخمین می‌زند I/O ترتیبی (full scan) از index lookup + I/O تصادفی ارزان‌تر است. بستگی به اندازه جدول، نوع storage، buffer cache و توزیع داده دارد. EXPLAIN (ANALYZE, BUFFERS) را بررسی کن.</div>	domain::sql course::sql_fundamentals section::ch_2_نگهداری_index
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا `WHERE phone = 5551234` از index روی ستون VARCHAR استفاده نمی‌کند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">type cast ضمنی — مقایسه VARCHAR با INT هر سطر را تبدیل می‌کند و index را غیرقابل استفاده می‌کند. راه‌حل: `WHERE phone = '5551234'`.</div>	domain::sql course::sql_fundamentals section::ch_2_نگهداری_index
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چطور indexهای بی‌استفاده را پیدا کنیم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">MySQL: `SELECT * FROM sys.schema_unused_indexes`. PostgreSQL: `SELECT indexrelname, idx_scan FROM pg_stat_user_indexes WHERE idx_scan = 0`. برای سرعت بخشیدن به writeها حذفشان کن.</div>	domain::sql course::sql_fundamentals section::ch_2_نگهداری_index
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آنتی‌الگوی Jaywalking چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ذخیره چند مقدار در یک ستون (لیست کاما-جدا). مشکل: FK وجود ندارد، نمی‌توان index زد، query نیاز به FIND_IN_SET یا LIKE دارد. راه‌حل: always use a join table.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_منطقی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آنتی‌الگوی Naive Trees چیست و Closure Table چطور کار می‌کند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ذخیره سلسله‌مراتب با parent_id — پرس‌وجوی عمق نامحدود نیازمند recursive CTE است. Closure Table یک جدول مجزا همه جفت‌های ancestor-descendant را ذخیره می‌کند. پرس‌وجوی فرزندان یا اجداد با یک query ساده.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_منطقی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چهار روش مدل‌سازی داده‌های سلسله‌مراتبی در SQL کدامند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">۱) adjacency list (parent_id — ساده، محدود)، ۲) nested sets (nsleft/nsright — خواندن عالی، نوشتن سخت)، ۳) path enumeration (رشته مسیر — مناسب ancestry ساده)، ۴) closure table (انعطاف‌پذیر، توصیه شده).</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_منطقی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چه موقع استفاده از parent_id (adjacency list) قابل قبول است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">وقتی فقط parent بلافصل نیاز است (کارمند → مدیر) و هرگز به پیمایش کامل درخت نیاز نیست. فقط سلسله‌مراتب کوتاه.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_منطقی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مشکل auto-increment id برای همه جدول‌ها چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آنتی‌الگوی "ID Required". کلیدهای طبیعی وجود دارند و پایدارند — از آنها استفاده کن. surrogate key سربار index اضافه می‌کند، معنا را پنهان می‌کند. با کلید طبیعی شروع کن.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_منطقی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چه موقع surrogate key خوب است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">وقتی کلید طبیعی پایدار وجود ندارد، پهن است (&gt;۴ ستون)، یا در سیستم‌های توزیع‌شده (UUID/ULID). همچنین برای چارچوب‌هایی مثل Rails، Django.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_منطقی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مشکل "ما integrity داده را در app اعمال می‌کنیم" چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آنتی‌الگوی "Keyless Entry". کد app باگ دارد → داده کثیف. هر کلاینتی باید همان بررسی‌ها را دوباره پیاده کند. FK وجود ندارد، سطرهای یتیم. محدودیت‌های DB اتمیک و سازگار هستند.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_منطقی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آنتی‌الگوی EAV چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Entity-Attribute-Value — یک "اسکیما عمومی" با سطرهای (entity_id, attr_name, attr_value). مشکل: همه مقادیر VARCHAR (بدون type safety)، FK غیرممکن، SELECT نیازمند N تا JOIN. تقریباً همیشه غلط است.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_منطقی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">جایگزین‌های بهتر برای EAV چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Single Table Inheritance (ستون‌های مشترک در یک جدول + ستون nullable برای subtypeها)، Class Table Inheritance (جدول مشترک + جدول‌های subtype)، یا JSONB برای ویژگی‌های واقعاً پویا.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_منطقی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آنتی‌الگوی Polymorphic Associations چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یک ستون FK که می‌تواند به هر جدولی اشاره کند: parent_type + parent_id. مشکل: referential integrity وجود ندارد، JOINها نیاز به UNION دارند. راه‌حل: یک جدول join مجزا برای هر نوع والد.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_منطقی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مشکل ذخیره پول به صورت FLOAT چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ممیز شناور نمی‌تواند اعداد اعشاری را دقیق نمایش دهد (0.1+0.2=0.30000000000000004). از DECIMAL(precision, scale) یا ذخیره به صورت سنت با BIGINT استفاده کن.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_فیزیکی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آنتی‌الگوی Metadata Tribbles چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ساختن جدول‌های مجزا برای داده‌های مشابه در طول زمان: Bugs_2009, Bugs_2010. مشکل: پرس‌وجو بین سال‌ها = UNION ALL، اضافه کردن سال جدید = schema change. راه‌حل: یک جدول با ستون سال + پارتیشن‌بندی.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_فیزیکی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا ENUMها در production مشکل‌سازند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">اضافه کردن مقدار نیاز به ALTER TABLE دارد (DDL → قفل جدول → downtime احتمالی). نمی‌توان FK زد. جدول‌های مختلف از هم فاصله می‌گیرند. lookup table را ترجیح بده — مقدار جدید = INSERT (DML)، نه ALTER TABLE.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_فیزیکی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چه موقع ENUM قابل قبول است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مجموعه‌های واقعاً ثابت (مخفف استاندارد ایالت‌ها، کدهای کشور ISO — اما حتی آن‌ها هم lookup table ضرر ندارد). اپ‌های کوچک داخلی که status هرگز تغییر نمی‌کند.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_فیزیکی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مشکل ذخیره چند tag در ستون‌های جدا (tag1, tag2, tag3) چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">querying با WHERE tag1='x' OR tag2='x' OR tag3='x' دست و پاگیر است، اضافه tag چهارم = ALTER TABLE. راه‌حل: join table.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_طراحی_فیزیکی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آنتی‌الگوی Phantom Files چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ذخیره مسیر فایل در DB، خود فایل روی دیسک. مشکل: سطر DB و فایل ناهماهنگ می‌شوند، بکاپ دو فرایند مجزا نیاز دارد. راه‌حل: BLOB در DB (فایل‌های کوچک) یا object store با checksum.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_query_و_اپلیکیشن
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا SELECT * در view و procedure بد است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ستون‌ها به ترتیب تعریف جدول برمی‌گردند، اضافه ستون خروجی view را تغییر می‌دهد (کد مصرف‌کننده خراب می‌شود)، covering index کار نمی‌کند. همیشه ستون‌ها را مشخص کن.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_query_و_اپلیکیشن
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مشکل استفاده از -1 یا 'N/A' به جای NULL چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آنتی‌الگوی "Fear of the Unknown". مقادیر sentinel توابع aggregate را خراب می‌کنند (AVG شامل -1 می‌شود)، هر app باید قرارداد را بداند، برای FK غیرممکن است. از NULL استفاده کن.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_query_و_اپلیکیشن
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آنتی‌الگوی Spaghetti Query چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یک query غول با ۱۲+ تا JOIN، subquery تو در تو با ۵ سطح عمق. راه‌حل: CTE، جدول موقت، view یا شکستن به مراحل app-level.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_query_و_اپلیکیشن
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آنتی‌الگوی God Table چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">جدولی با ۵۰+ ستون که هر فیچری از آن استفاده می‌کند. مشکل: سطرهای عریض، محدودیت اندازه ردیف/صفحه، lock contention. راه‌حل: vertical partitioning — جدول‌های مجزا بر اساس دامنه.</div>	domain::sql course::sql_fundamentals section::ch_3_آنتی_الگوهای_query_و_اپلیکیشن
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">بدترین آنتی‌الگوی SQL کدام است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">EAV یا Jaywalking — هر دو رایجند، نرمال‌سازی را می‌شکنند، queryability را نابود می‌کنند. EAV: همه مقادیر VARCHAR، بدون type safety. Jaywalking: بدون FK، بدون index.</div>	domain::sql course::sql_fundamentals section::ch_3_نکات_مصاحبه
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چطور یک سیستم EAV را بازطراحی می‌کنی؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ویژگی‌های مشترک → ستون، subtype-specific → class table inheritance، پویا → JSONB. مهاجرت مرحله‌ای: اسکیما جدید، همزمان به هر دو بنویس، backfill، EAV را حذف کن.</div>	domain::sql course::sql_fundamentals section::ch_3_نکات_مصاحبه
